Fixations,X_Fixation,Y_Fixation,saccades,TimeLines,Durations
A3,101,389,saccade,3.158404,2.78343
C3,305,354,saccade,5.708562,2.944548
N0,1366,119,saccade,8.662416,2.881982
N5,1335,496,saccade,11.31055,2.825823
N0,1412,100,saccade,12.50744,1.524125
R1,1762,200,saccade,13.78637,1.709361
M3,1304,333,saccade,15.36159,1.636252
W1,2257,96,saccade,20.55142,1.01757
W0,2300,53,saccade,21.18234,1.122813
Z0,2476,30,saccade,22.08508,1.023716
A13,43,1289,saccade,24.37589,1.151271
A2,110,301,saccade,26.73687,2.080516

